1,Милан Стефановић,Богдан Радаковић,0
1,Војислав Кокеза,Влада Вуловић,0
1,Стеван Радаковић,Дејан Суботић,1
1,Миле Стевановић,Tim Hendon,1
1,Непар,Перо Остојић,0
2,Влада Вуловић,Стеван Радаковић,1
2,Богдан Радаковић,Миле Стевановић,0
2,Перо Остојић,Милан Стефановић,0
2,Дејан Суботић,Војислав Кокеза,1
2,Непар,Tim Hendon,0
3,Миле Стевановић,Влада Вуловић,0
3,Милан Стефановић,Дејан Суботић,0
3,Tim Hendon,Стеван Радаковић,0
3,Перо Остојић,Богдан Радаковић,0
3,Непар,Војислав Кокеза,0
4,Дејан Суботић,Влада Вуловић,0
4,Стеван Радаковић,Миле Стевановић,1
4,Богдан Радаковић,Војислав Кокеза,1
4,Tim Hendon,Перо Остојић,0
4,Непар,Милан Стефановић,0
5,Влада Вуловић,Богдан Радаковић,1
5,Милан Стефановић,Стеван Радаковић,0
5,Миле Стевановић,Перо Остојић,1
5,Војислав Кокеза,Tim Hendon,1
5,Непар,Дејан Суботић,0
