1,Владо Жарић,Сергеј Хринко,1.0
1,Богдан Радаковић,Дејан Суботић,1.0
1,Милан Стефановић,Петар Спасић,0.0
1,Јовица Спасић,Влада Вуловић,0.0
1,Саша Јурић,Огњен Шобајић,0.0
2,Петар Спасић,Владо Жарић,0.0
2,Влада Вуловић,Богдан Радаковић,1.0
2,Огњен Шобајић,Милан Стефановић,0.5
2,Јовица Спасић,Саша Јурић,1.0
2,Дејан Суботић,Сергеј Хринко,0.0
3,Влада Вуловић,Владо Жарић,0.0
3,Богдан Радаковић,Огњен Шобајић,1.0
3,Сергеј Хринко,Петар Спасић,0.0
3,Милан Стефановић,Јовица Спасић,1.0
3,Дејан Суботић,Саша Јурић,1.0
4,Владо Жарић,Богдан Радаковић,1.0
4,Петар Спасић,Влада Вуловић,0.5
4,Милан Стефановић,Дејан Суботић,0.0
4,Огњен Шобајић,Јовица Спасић,1.0
4,Сергеј Хринко,Саша Јурић,1.0
5,Огњен Шобајић,Владо Жарић,0.0
5,Петар Спасић,Дејан Суботић,1.0
5,Сергеј Хринко,Влада Вуловић,0.5
5,Јовица Спасић,Богдан Радаковић,0.0
5,Саша Јурић,Милан Стефановић,0.0
6,Владо Жарић,Милан Стефановић,1.0
6,Богдан Радаковић,Петар Спасић,0.5
6,Влада Вуловић,Саша Јурић,1.0
6,Огњен Шобајић,Сергеј Хринко,1.0
6,Дејан Суботић,Јовица Спасић,1.0
7,Дејан Суботић,Владо Жарић,0.0
7,Петар Спасић,Огњен Шобајић,1.0
7,Влада Вуловић,Милан Стефановић,1.0
7,Саша Јурић,Богдан Радаковић,0.0
7,Јовица Спасић,Сергеј Хринко,0.0
